Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
OJC01,https://raw.githubusercontent.com/lcib/spsatv/main/ojc.001.png,0:00:10,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
OJC02,https://raw.githubusercontent.com/lcib/spsatv/main/ojc.002.png,0:00:10,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
OJC03,https://raw.githubusercontent.com/lcib/spsatv/main/ojc.003.png,0:00:10,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
OJC04,https://raw.githubusercontent.com/lcib/spsatv/main/ojc.004.png,0:00:10,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
OJC05,https://raw.githubusercontent.com/lcib/spsatv/main/ojc.005.png,0:00:10,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
OJC06,https://raw.githubusercontent.com/lcib/spsatv/main/ojc.006.png,0:00:10,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
OJC07,https://raw.githubusercontent.com/lcib/spsatv/main/ojc.007.png,0:00:10,1:00:00,1/01/18 0:00,12/31/30 23:59,yes
